description,dis,sNumber,sTag,servArea,incType,numInc,numStand,perMet,90Avg,q,rank,rankQ4
Non-Emergency Incident,SOUTH & EAST REGIONAL,74,FS74,Wangaratta,nonInc,1,65,91.5,6.7,1,29,38
Emergency Incident,SOUTH & EAST REGIONAL,74,FS74,Wangaratta,emInc,71,65,91.5,6.7,1,29,38
Incident Total,SOUTH & EAST REGIONAL,74,FS74,Wangaratta,totInc,72,65,91.5,6.7,1,29,38
Non-Emergency Incident,WESTERN D3,63,FS63,Geelong City,nonInc,9,203,91.4,7.7,1,30,9
Emergency Incident,WESTERN D3,63,FS63,Geelong City,emInc,222,203,91.4,7.7,1,30,9
Incident Total,WESTERN D3,63,FS63,Geelong City,totInc,231,203,91.4,7.7,1,30,9
Non-Emergency Incident,CENTRAL,35,FS35,Windsor,nonInc,36,546,91.3,7.6,1,31,34
Emergency Incident,CENTRAL,35,FS35,Windsor,emInc,598,546,91.3,7.6,1,31,34
Incident Total,CENTRAL,35,FS35,Windsor,totInc,634,546,91.3,7.6,1,31,34
Non-Emergency Incident,NORTH & WEST REGIONAL,68,FS68,Lucas,nonInc,5,40,90.9,7.6,1,32,50
Emergency Incident,NORTH & WEST REGIONAL,68,FS68,Lucas,emInc,44,40,90.9,7.6,1,32,50
Incident Total,NORTH & WEST REGIONAL,68,FS68,Lucas,totInc,49,40,90.9,7.6,1,32,50
Non-Emergency Incident,SOUTHERN D1,33,FS33,Mentone,nonInc,19,129,90.2,8,1,33,37
Emergency Incident,SOUTHERN D1,33,FS33,Mentone,emInc,143,129,90.2,8,1,33,37
Incident Total,SOUTHERN D1,33,FS33,Mentone,totInc,162,129,90.2,8,1,33,37
Non-Emergency Incident,EASTERN,19,FS19,North Balwyn,nonInc,20,109,90.1,7.7,1,34,61
Emergency Incident,EASTERN,19,FS19,North Balwyn,emInc,121,109,90.1,7.7,1,34,61
Incident Total,EASTERN,19,FS19,North Balwyn,totInc,141,109,90.1,7.7,1,34,61
Non-Emergency Incident,SOUTHERN D1,32,FS32,Ormond,nonInc,14,185,89.8,7.8,1,35,62
Emergency Incident,SOUTHERN D1,32,FS32,Ormond,emInc,206,185,89.8,7.8,1,35,62
Incident Total,SOUTHERN D1,32,FS32,Ormond,totInc,220,185,89.8,7.8,1,35,62
Non-Emergency Incident,NORTH & WEST REGIONAL,71,FS71,Portland,nonInc,3,26,89.7,7.6,1,36,51
Emergency Incident,NORTH & WEST REGIONAL,71,FS71,Portland,emInc,29,26,89.7,7.6,1,36,51
Incident Total,NORTH & WEST REGIONAL,71,FS71,Portland,totInc,32,26,89.7,7.6,1,36,51
Non-Emergency Incident,EASTERN,84,FS84,South Warrandyte,nonInc,4,17,89.5,8.9,1,37,70
Emergency Incident,EASTERN,84,FS84,South Warrandyte,emInc,19,17,89.5,8.9,1,37,70
Incident Total,EASTERN,84,FS84,South Warrandyte,totInc,23,17,89.5,8.9,1,37,70
Non-Emergency Incident,CENTRAL,18,FS18,Hawthorn,nonInc,23,218,89.3,7.9,1,38,47
Emergency Incident,CENTRAL,18,FS18,Hawthorn,emInc,244,218,89.3,7.9,1,38,47
Incident Total,CENTRAL,18,FS18,Hawthorn,totInc,267,218,89.3,7.9,1,38,47
Non-Emergency Incident,SOUTHERN D2,91,FS91,Frankston,nonInc,8,251,89.3,7.9,1,39,26
Emergency Incident,SOUTHERN D2,91,FS91,Frankston,emInc,281,251,89.3,7.9,1,39,26
Incident Total,SOUTHERN D2,91,FS91,Frankston,totInc,289,251,89.3,7.9,1,39,26
Non-Emergency Incident,CENTRAL,50,FS50,Ascot Vale,nonInc,8,190,89.2,7.9,1,40,48
Emergency Incident,CENTRAL,50,FS50,Ascot Vale,emInc,213,190,89.2,7.9,1,40,48
Incident Total,CENTRAL,50,FS50,Ascot Vale,totInc,221,190,89.2,7.9,1,40,48
