dis,sNumber,sTag,servArea,incType,numInc,numStand,perMet,90Avg,q,rank,rankQ4
SOUTHERN D2,90,FS90,Patterson River,nonInc,8,65,76.5,9,1,78,75
SOUTHERN D2,90,FS90,Patterson River,emInc,85,65,76.5,9,1,78,75
WESTERN D1,57,FS57,Tarneit,nonInc,21,172,71.7,10,1,80,82
WESTERN D1,57,FS57,Tarneit,emInc,240,172,71.7,10,1,80,82
SOUTHERN D2,88,FS88,Hallam,nonInc,14,131,71.6,9.9,1,81,55
SOUTHERN D2,88,FS88,Hallam,emInc,183,131,71.6,9.9,1,81,55
SOUTHERN D2,93,FS93,Pakenham,nonInc,4,88,69.8,10.2,1,82,58
SOUTHERN D2,93,FS93,Pakenham,emInc,126,88,69.8,10.2,1,82,58
WESTERN D1,58,FS58,Point Cook,nonInc,1,62,68.1,10.1,1,83,79
WESTERN D1,58,FS58,Point Cook,emInc,91,62,68.1,10.1,1,83,79
WESTERN D2,54,FS54,Greenvale,nonInc,3,33,67.3,10.2,1,84,81
WESTERN D2,54,FS54,Greenvale,emInc,49,33,67.3,10.2,1,84,81
WESTERN D2,55,FS55,Caroline Springs,nonInc,10,93,60.8,9.4,1,85,84
WESTERN D2,55,FS55,Caroline Springs,emInc,153,93,60.8,9.4,1,85,84
WESTERN D3,61,FS61,Lara,nonInc,3,31,59.6,11.1,1,86,83
WESTERN D3,61,FS61,Lara,emInc,52,31,59.6,11.1,1,86,83
CENTRAL,3,FS3,Carlton,nonInc,18,317,97.8,6.5,2,1,3
CENTRAL,3,FS3,Carlton,emInc,324,317,97.8,6.5,2,1,3
CENTRAL,1,FS1,Eastern Hill,nonInc,16,353,97,6,2,2,2
CENTRAL,1,FS1,Eastern Hill,emInc,364,353,97,6,2,2,2
WESTERN D3,66,FS66,Ocean Grove,nonInc,6,30,96.8,6.2,2,3,1
WESTERN D3,66,FS66,Ocean Grove,emInc,31,30,96.8,6.2,2,3,1
EASTERN,85,FS85,Boronia,nonInc,22,75,96.2,6.9,2,4,28
EASTERN,85,FS85,Boronia,emInc,78,75,96.2,6.9,2,4,28
SOUTHERN D1,86,FS86,Rowville,nonInc,16,51,96.2,7,2,5,21
SOUTHERN D1,86,FS86,Rowville,emInc,53,51,96.2,7,2,5,21
CENTRAL,38,FS38,South Melbourne,nonInc,24,378,95.5,6.8,2,6,14
CENTRAL,38,FS38,South Melbourne,emInc,396,378,95.5,6.8,2,6,14
EASTERN,30,FS30,Templestowe,nonInc,13,59,95.2,7.4,2,7,40
EASTERN,30,FS30,Templestowe,emInc,62,59,95.2,7.4,2,7,40
CENTRAL,2,FS2,West Melbourne,nonInc,30,284,94.7,6.6,2,8,7
CENTRAL,2,FS2,West Melbourne,emInc,300,284,94.7,6.6,2,8,7
NORTHERN,14,FS14,Bundoora,nonInc,19,144,94.7,7.4,2,9,46
NORTHERN,14,FS14,Bundoora,emInc,152,144,94.7,7.4,2,9,46
WESTERN D2,44,FS44,Sunshine,nonInc,38,126,94,7.3,2,10,24
WESTERN D2,44,FS44,Sunshine,emInc,134,126,94,7.3,2,10,24
NORTH & WEST REGIONAL,67,FS67,Ballarat City,nonInc,6,103,93.6,6.6,2,11,4
NORTH & WEST REGIONAL,67,FS67,Ballarat City,emInc,110,103,93.6,6.6,2,11,4
EASTERN,28,FS28,Vermont South,nonInc,25,114,93.4,7.3,2,12,19
EASTERN,28,FS28,Vermont South,emInc,122,114,93.4,7.3,2,12,19
SOUTH & EAST REGIONAL,74,FS74,Wangaratta,nonInc,4,52,92.9,6.6,2,13,38
SOUTH & EAST REGIONAL,74,FS74,Wangaratta,emInc,56,52,92.9,6.6,2,13,38
SOUTHERN D2,94,FS94,Mornington,nonInc,4,79,92.9,7,2,14,25
SOUTHERN D2,94,FS94,Mornington,emInc,85,79,92.9,7,2,14,25
WESTERN D3,64,FS64,Belmont,nonInc,13,96,92.3,7.5,2,15,27
WESTERN D3,64,FS64,Belmont,emInc,104,96,92.3,7.5,2,15,27
SOUTH & EAST REGIONAL,77,FS77,Traralgon,nonInc,4,60,92.3,7.7,2,16,52
SOUTH & EAST REGIONAL,77,FS77,Traralgon,emInc,65,60,92.3,7.7,2,16,52
EASTERN,22,FS22,Ringwood,nonInc,40,125,91.9,7.5,2,17,22
EASTERN,22,FS22,Ringwood,emInc,136,125,91.9,7.5,2,17,22
NORTHERN,15,FS15,Heidelberg,nonInc,28,168,91.8,7.4,2,18,42
NORTHERN,15,FS15,Heidelberg,emInc,183,168,91.8,7.4,2,18,42
SOUTHERN D2,91,FS91,Frankston,nonInc,30,179,91.8,7.6,2,19,26
SOUTHERN D2,91,FS91,Frankston,emInc,195,179,91.8,7.6,2,19,26
SOUTH & EAST REGIONAL,78,FS78,Morwell,nonInc,4,77,91.7,7.2,2,20,15
SOUTH & EAST REGIONAL,78,FS78,Morwell,emInc,84,77,91.7,7.2,2,20,15
CENTRAL,10,FS10,Richmond,nonInc,13,269,91.5,7.2,2,21,16
CENTRAL,10,FS10,Richmond,emInc,294,269,91.5,7.2,2,21,16
CENTRAL,4,FS4,Brunswick,nonInc,42,159,91.4,7.4,2,22,17
CENTRAL,4,FS4,Brunswick,emInc,174,159,91.4,7.4,2,22,17
EASTERN,27,FS27,Nunawading,nonInc,26,94,91.3,7.5,2,23,18
EASTERN,27,FS27,Nunawading,emInc,103,94,91.3,7.5,2,23,18
WESTERN D1,47,FS47,Footscray,nonInc,19,165,91.2,7.4,2,24,35
WESTERN D1,47,FS47,Footscray,emInc,181,165,91.2,7.4,2,24,35
EASTERN,20,FS20,Box Hill,nonInc,26,161,91,7.5,2,25,10
EASTERN,20,FS20,Box Hill,emInc,177,161,91,7.5,2,25,10
NORTHERN,16,FS16,Greensborough,nonInc,14,70,90.9,7.7,2,26,31
NORTHERN,16,FS16,Greensborough,emInc,77,70,90.9,7.7,2,26,31
EASTERN,26,FS26,Croydon,nonInc,34,88,90.7,7.5,2,27,11
EASTERN,26,FS26,Croydon,emInc,97,88,90.7,7.5,2,27,11
CENTRAL,39,FS39,Port Melbourne,nonInc,22,109,90.1,7.4,2,28,32
CENTRAL,39,FS39,Port Melbourne,emInc,121,109,90.1,7.4,2,28,32
SOUTHERN D1,24,FS24,Malvern,nonInc,26,152,89.9,8,2,29,30
SOUTHERN D1,24,FS24,Malvern,emInc,169,152,89.9,8,2,29,30
SOUTHERN D2,95,FS95,Rosebud,nonInc,12,53,89.8,7.7,2,30,6
SOUTHERN D2,95,FS95,Rosebud,emInc,59,53,89.8,7.7,2,30,6
CENTRAL,35,FS35,Windsor,nonInc,62,402,89.5,7.7,2,31,34
CENTRAL,35,FS35,Windsor,emInc,449,402,89.5,7.7,2,31,34
WESTERN D2,41,FS41,St Albans,nonInc,33,102,89.5,7.8,2,32,13
